"query","query_type","abridged_query","year","n","reference_n","comparison_percentage","average_comparison_percentage","topic"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1982,118,118,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1983,115,115,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1984,114,114,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1985,68,68,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1986,70,70,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1987,60,60,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1988,102,102,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1989,74,74,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1990,79,79,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1991,100,100,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1992,149,149,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1993,160,160,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1994,130,130,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1995,122,122,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1996,158,158,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1997,173,173,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1998,146,146,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",1999,153,153,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2000,149,149,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2001,172,172,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2002,180,180,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2003,230,230,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2004,254,254,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2005,299,299,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2006,295,295,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2007,294,294,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2008,317,317,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2009,314,314,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2010,315,315,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2011,320,320,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2012,336,336,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2013,500,500,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2014,445,445,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2015,456,456,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2016,458,458,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2017,532,532,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2018,578,578,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2019,681,681,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2020,674,674,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2021,683,683,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2022,701,701,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2023,692,692,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2024,732,732,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2025,780,780,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"")","reference","""language disorders"" OR ""language disorder""",2026,562,562,100,100,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1980,0,111,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1981,0,104,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1982,1,118,0.847457627118644,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1983,1,115,0.869565217391304,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1984,1,114,0.87719298245614,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1985,1,68,1.47058823529412,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1986,0,70,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1987,0,60,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1988,0,102,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1989,0,74,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1990,0,79,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1991,1,100,1,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1992,0,149,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1993,0,160,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1994,1,130,0.769230769230769,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1995,0,122,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1996,1,158,0.632911392405063,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1997,1,173,0.578034682080925,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1998,0,146,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1999,0,153,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2000,0,149,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2001,0,172,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2002,0,180,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2003,0,230,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2004,0,254,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2005,1,299,0.334448160535117,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2006,2,295,0.677966101694915,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2007,2,294,0.680272108843537,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2008,1,317,0.315457413249211,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2009,1,314,0.318471337579618,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2010,0,315,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2011,1,320,0.3125,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2012,1,336,0.297619047619048,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2013,1,500,0.2,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2014,3,445,0.674157303370786,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2015,0,456,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2016,1,458,0.218340611353712,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2017,2,532,0.37593984962406,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2018,2,578,0.346020761245675,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2019,0,681,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2020,4,674,0.593471810089021,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2021,2,683,0.292825768667643,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2022,2,701,0.285306704707561,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2023,0,692,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2024,2,732,0.273224043715847,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2025,0,780,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""language disorders"" OR ""language disorder"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2026,0,562,0,0.252542967379867,"language disorders"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1980,2,2,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1981,1,1,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1982,3,3,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1983,1,1,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1984,1,1,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1985,2,2,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1986,3,3,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1987,0,0,NA,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1988,1,1,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1989,1,1,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1990,1,1,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1991,3,3,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1992,2,2,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1993,3,3,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1994,1,1,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1995,1,1,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1996,2,2,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1997,5,5,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1998,7,7,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",1999,3,3,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2000,5,5,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2001,5,5,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2002,11,11,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2003,9,9,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2004,9,9,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2005,15,15,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2006,17,17,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2007,12,12,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2008,12,12,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2009,14,14,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2010,27,27,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2011,23,23,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2012,28,28,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2013,33,33,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2014,26,26,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2015,33,33,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2016,41,41,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2017,39,39,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2018,38,38,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2019,30,30,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2020,43,43,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2021,29,29,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2022,40,40,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2023,44,44,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2024,31,31,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2025,39,39,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"")","reference","""linguistic relativity""",2026,43,43,100,100,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1980,0,2,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1981,0,1,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1982,0,3,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1983,0,1,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1984,0,1,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1985,0,2,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1986,0,3,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1987,0,0,NA,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1988,0,1,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1989,0,1,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1990,0,1,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1991,0,3,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1992,0,2,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1993,0,3,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1994,0,1,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1995,0,1,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1996,0,2,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1997,0,5,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1998,0,7,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",1999,0,3,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2000,0,5,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2001,0,5,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2002,0,11,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2003,0,9,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2004,0,9,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2005,0,15,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2006,0,17,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2007,1,12,8.33333333333333,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2008,0,12,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2009,0,14,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2010,0,27,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2011,0,23,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2012,0,28,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2013,0,33,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2014,0,26,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2015,0,33,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2016,2,41,4.8780487804878,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2017,1,39,2.56410256410256,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2018,0,38,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2019,0,30,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2020,0,43,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2021,0,29,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2022,0,40,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2023,1,44,2.27272727272727,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2024,0,31,0,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2025,2,39,5.12820512820513,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""linguistic relativity"") AND TITLE-ABS-KEY(speculat*)","comparison","speculat*",2026,2,43,4.65116279069767,1.21786197564276,"linguistic relativity"
"TITLE-ABS-KEY(""language teaching"")","reference","""language teaching""",1980,36,36,100,100,"language teaching"
